Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
*,*,*,H2/H4/R72/R73,8,*** PART# '*' NOT FOUND : H2/H4/R72/R73
350-2040-1-ND,Dialight,598-8130-107F,ARX/ATX/BRX/BTX/CRX/CTX/DRX/DTX,16,
350-2044-1-ND,Dialight,598-8170-107F,LED12,2,
5787834-1-ND,TE Connectivity AMP Connectors,5787834-1,J2,2,
732-4179-1-ND,Wurth Electronics Inc,7443251000,L7,2,
ADUM3160BRWZ-RLCT-ND,Analog Devices Inc.,ADUM3160BRWZ-RL,U14,2,
490-1054-1-ND,Murata Electronics North America,BLM21PG221SN1D,L2/L3/L4,6,
1276-2558-1-ND,Samsung Electro-Mechanics America, Inc.,CL21C090CBANNNC,C85,2,
BKCT2228-0-ND,B&K; Precision,CT2228-0,B2,2,
BKCT2228-2-ND,B&K; Precision,CT2228-2,B1,2,
1253-1168-1-ND,AVX Corp/Kyocera Corp,CX3225GB12000P0HPQCC,Y2,2,
P24.0HCT-ND,Panasonic Electronic Components,ERJ-3EKF24R0V,R33/R34/R35/R37/R38/R39/R40/R41/R44/R45/R46/R47,24,
P1.00KHCT-ND,Panasonic Electronic Components,ERJ-3EKF1001V,R48/R54/R55/R56/R57/R58/R59/R60,16,
P1.00KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1001V,R7,2,
P11.5KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1152V,R68,2,
P15.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1502V,R49,2,
P162KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1623V,R42,2,
P60.4KCCT-ND,Panasonic Electronic Components,ERJ-6ENF6042V,R62,2,
768-1026-1-ND,FTDI, Future Technology Devices International Ltd,FT4232HL-REEL,U28,2,
490-5523-1-ND,Murata Electronics North America,GRM21BR61E106KA73L,C90/C91,4,
490-1673-1-ND,Murata Electronics North America,GRM21BR71E104KA01L,REF43,2,
490-5528-1-ND,Murata Electronics North America,GRM31CR61A476ME15L,C89,2,
490-6521-1-ND,Murata Electronics North America,GRM31CR71H475KA12L,C87/C88,4,
490-1524-1-ND,Murata Electronics North America,GRM188R71E104KA01D,C44/C45/C46/C47/C48/C49/C50/C51/C52/C53/C54/C55/C56/C57/C58/C59/C60/C61/C62/C63/C64/C65/C66/C67/C68/C69,52,
490-11563-1-ND,Murata Electronics North America,GRM216R71H123KA01D,C42,2,
296-38557-1-ND,Texas Instruments,LP5907MFX-3.3/NOPB,U30,2,
102-2688-1-ND,CUI Inc.,PDS1-S5-S5-M-TR,U22,2,
568-6761-1-ND,NXP Semiconductors,PMEG3030EP,115,D5,2,
296-14857-1-ND,Texas Instruments,SN74HC595DR,U29,2,
296-39422-1-ND,Texas Instruments,TPS54540DDAR,U9,2,
VS-50WQ10FNPBF-ND,Vishay Semiconductor Diodes Division,VS-50WQ10FNPBF,D21,2,
